2,48,3
2,99,1
2,106,1
2,127,1
2,142,0
2,149,2
5,26,2
5,57,3
5,79,1
6,74,2
6,105,3
12,5,1
12,22,2
12,44,4
12,97,1
13,13,3
13,28,3
13,57,1
13,105,2
13,129,1
18,48,3
18,73,1
22,44,4
22,147,3
23,13,2
23,79,3
23,149,1
26,26,3
26,117,3
27,43,1
28,13,4
30,99,3
33,28,3
33,48,2
33,101,4
33,142,1
33,144,4
33,147,1
36,5,4
36,28,3
36,54,1
36,73,3
36,129,2
41,33,3
41,73,3
41,86,2
41,119,0
41,131,1
42,22,4
42,56,4
42,86,2
43,2,2
44,33,2
44,36,3
44,72,2
44,93,1
44,97,3
48,18,3
48,93,2
48,101,3
48,129,4
51,33,3
51,43,3
51,55,0
51,119,4
51,140,0
51,147,2
54,5,2
54,105,3
55,5,2
55,109,1
55,119,3
56,5,2
56,93,3
56,122,4
57,51,4
57,55,4
57,73,2
57,129,1
59,44,1
59,51,4
59,73,3
59,107,3
60,26,2
60,41,3
60,54,2
60,103,3
60,149,3
61,86,1
61,106,3
61,109,4
61,144,0
64,42,4
64,60,2
64,146,2
72,30,0
72,44,2
72,64,0
72,105,4
73,44,1
73,141,0
74,13,1
74,23,2
74,54,2
74,111,0
74,140,1
79,5,4
79,33,1
86,13,1
86,36,3
86,56,3
86,86,0
86,144,3
86,146,3
89,23,4
89,48,0
89,72,3
93,111,2
97,2,3
97,36,1
97,41,1
97,111,0
97,112,2
98,2,0
98,55,4
98,61,0
98,86,1
99,22,0
99,57,4
99,73,1
101,13,0
101,48,1
101,86,4
103,146,1
105,6,2
105,54,4
105,107,2
105,140,1
106,27,0
106,119,4
107,22,3
107,112,0
109,5,4
109,22,4
109,28,2
109,64,4
109,93,3
109,106,3
111,133,0
111,146,1
112,26,2
112,56,0
112,141,3
117,51,2
117,57,3
117,64,4
117,109,4
117,117,2
117,121,4
119,36,0
119,61,4
119,89,3
121,73,1
121,107,2
121,111,0
122,13,2
122,59,4
122,64,4
127,26,1
127,30,2
127,51,0
129,48,0
131,22,1
131,105,0
131,106,1
131,117,0
133,2,2
133,41,2
133,51,3
133,64,4
133,147,2
140,56,2
140,86,0
140,99,2
140,106,2
141,99,2
142,89,0
144,55,2
144,61,4
144,121,3
146,28,1
146,54,0
146,59,3
147,60,3
147,101,4
149,48,4
149,103,1
